problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,MAS_noRidesharing_interval_aFilter=10_bFilter=5,5519470499984739720,0,9532,250005629,10450,10445
DEFAULT,,MAS_noRidesharing_interval_aFilter=10_bFilter=5,-570648509535936272,0,9525,250005608,10444,10451
DEFAULT,,MAS_noRidesharing_interval_aFilter=10_bFilter=5,-5814032274792701469,0,9522,250005375,10442,10453
DEFAULT,,MAS_noRidesharing_interval_aFilter=10_bFilter=5,-8983376925120995702,0,9528,250004816,10445,10450
DEFAULT,,MAS_noRidesharing_interval_aFilter=10_bFilter=5,8884255227086587874,0,9525,250005698,10444,10451
DEFAULT,,MAS_noRidesharing_interval_aFilter=10_bFilter=5,6035094637740532013,0,9524,250007087,10443,10452
DEFAULT,,MAS_noRidesharing_interval_aFilter=10_bFilter=5,2039311718359419500,0,9528,250007090,10447,10448
DEFAULT,,MAS_noRidesharing_interval_aFilter=10_bFilter=5,8161660533384016080,0,9524,250006029,10443,10452
