problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,Central_noRidesharing_aFilter=5_0.8_0.1_TW=5,5519470499984739720,0,15897,249999993,15898,8121
DEFAULT,,Central_noRidesharing_aFilter=5_0.8_0.1_TW=5,-570648509535936272,0,17270,249999993,17271,7329
DEFAULT,,Central_noRidesharing_aFilter=5_0.8_0.1_TW=5,-5814032274792701469,0,16502,249999995,16503,6528
DEFAULT,,Central_noRidesharing_aFilter=5_0.8_0.1_TW=5,5519470499984739720,0,16926,249999993,16927,6091
DEFAULT,,Central_noRidesharing_aFilter=5_0.8_0.1_TW=5,-570648509535936272,0,17459,249999989,17460,7017
DEFAULT,,Central_noRidesharing_aFilter=5_0.8_0.1_TW=5,-5814032274792701469,0,18250,249999990,18251,6786
DEFAULT,,Central_noRidesharing_aFilter=5_0.8_0.1_TW=5,5519470499984739720,0,17548,249999739,17549,5627
DEFAULT,,Central_noRidesharing_aFilter=5_0.8_0.1_TW=5,-570648509535936272,0,16405,250000094,16406,5814
DEFAULT,,Central_noRidesharing_aFilter=5_0.8_0.1_TW=5,-5814032274792701469,0,17095,249999996,17096,4874
