problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,MAS_noRidesharing_aFilter=5_1.0_0.1_TW=3,5519470499984739720,0,9953,250001873,10468,13951
DEFAULT,,MAS_noRidesharing_aFilter=5_1.0_0.1_TW=3,-570648509535936272,0,9922,250002998,10441,13972
DEFAULT,,MAS_noRidesharing_aFilter=5_1.0_0.1_TW=3,-5814032274792701469,0,9909,250001834,10426,13991
DEFAULT,,MAS_noRidesharing_aFilter=5_1.0_0.1_TW=3,5519470499984739720,0,10016,250002407,10534,16273
DEFAULT,,MAS_noRidesharing_aFilter=5_1.0_0.1_TW=3,-570648509535936272,0,10024,250002946,10540,13248
DEFAULT,,MAS_noRidesharing_aFilter=5_1.0_0.1_TW=3,-5814032274792701469,0,9998,250001776,10516,13273
DEFAULT,,MAS_noRidesharing_aFilter=5_1.0_0.1_TW=3,5519470499984739720,0,9691,250003261,10246,12477
DEFAULT,,MAS_noRidesharing_aFilter=5_1.0_0.1_TW=3,-570648509535936272,0,9694,250003270,10247,12917
DEFAULT,,MAS_noRidesharing_aFilter=5_1.0_0.1_TW=3,-5814032274792701469,0,9733,250004824,10287,12705
