problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=10_bFilter=5,5519470499984739720,0,7041,250002898,7455,18916
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=10_bFilter=5,-570648509535936272,0,7041,250003386,7456,16303
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=10_bFilter=5,-5814032274792701469,0,7038,250001756,7453,18918
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=10_bFilter=5,-8983376925120995702,0,7052,250003522,7468,18903
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=10_bFilter=5,8884255227086587874,0,7057,250001711,7470,18901
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=10_bFilter=5,6035094637740532013,0,7035,250003567,7451,18920
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=10_bFilter=5,2039311718359419500,0,7047,250003441,7463,18908
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=10_bFilter=5,8161660533384016080,0,7044,250003493,7460,18911
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=10_bFilter=5,8392724219225223442,0,7043,250001807,7458,17115
DEFAULT,,MAS_noRidesharing_TW=10_aFilter=10_bFilter=5,-3577649692547979120,0,7021,250001857,7438,18933
