problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,Central_noRidesharing_interval_aFilter=5_bFilter=5,5519470499984739720,0,16857,249999993,16858,7448
DEFAULT,,Central_noRidesharing_interval_aFilter=5_bFilter=5,-570648509535936272,0,17691,249999994,17692,7286
DEFAULT,,Central_noRidesharing_interval_aFilter=5_bFilter=5,-5814032274792701469,0,18016,249999985,18017,6804
DEFAULT,,Central_noRidesharing_interval_aFilter=5_bFilter=5,5519470499984739720,0,17098,249999769,17100,6271
DEFAULT,,Central_noRidesharing_interval_aFilter=5_bFilter=5,-570648509535936272,0,16489,249999997,16491,8540
DEFAULT,,Central_noRidesharing_interval_aFilter=5_bFilter=5,-5814032274792701469,0,17658,249999991,17660,6897
DEFAULT,,Central_noRidesharing_interval_aFilter=5_bFilter=5,5519470499984739720,0,18105,249999995,18107,4747
DEFAULT,,Central_noRidesharing_interval_aFilter=5_bFilter=5,-570648509535936272,0,17143,249999991,17145,5475
DEFAULT,,Central_noRidesharing_interval_aFilter=5_bFilter=5,-5814032274792701469,0,17988,249999992,17990,4823
