problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,Central_Ridesharing_aFilter=20_TW=420000,5519470499984739720,0,15648,249998484,15653,7719
DEFAULT,,Central_Ridesharing_aFilter=20_TW=420000,-570648509535936272,0,14993,255745636,15001,7177
DEFAULT,,Central_Ridesharing_aFilter=20_TW=420000,-5814032274792701469,0,15815,250635133,15822,6515
DEFAULT,,Central_Ridesharing_aFilter=20_TW=420000,5519470499984739720,0,15137,249980719,15141,7523
DEFAULT,,Central_Ridesharing_aFilter=20_TW=420000,-570648509535936272,0,15732,249996185,15736,6159
DEFAULT,,Central_Ridesharing_aFilter=20_TW=420000,-5814032274792701469,0,15673,249999409,15677,6862
DEFAULT,,Central_Ridesharing_aFilter=20_TW=420000,5519470499984739720,0,15224,250000002,15228,8176
DEFAULT,,Central_Ridesharing_aFilter=20_TW=420000,-570648509535936272,0,15639,250000009,15645,6914
DEFAULT,,Central_Ridesharing_aFilter=20_TW=420000,-5814032274792701469,0,15529,250000005,15533,7205
