problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,MAS_noRidesharing_TW30_aFilter=20_bFilter=5,5519470499984739720,0,2624,250001226,2919,17543
DEFAULT,,MAS_noRidesharing_TW30_aFilter=20_bFilter=5,-570648509535936272,0,2621,250006187,2916,17546
DEFAULT,,MAS_noRidesharing_TW30_aFilter=20_bFilter=5,-5814032274792701469,0,2619,250006613,2914,17548
DEFAULT,,MAS_noRidesharing_TW30_aFilter=20_bFilter=5,5519470499984739720,0,2656,250008573,2948,21248
DEFAULT,,MAS_noRidesharing_TW30_aFilter=20_bFilter=5,-570648509535936272,0,2655,250012511,2947,21248
DEFAULT,,MAS_noRidesharing_TW30_aFilter=20_bFilter=5,-5814032274792701469,0,2656,250006460,2947,21248
DEFAULT,,MAS_noRidesharing_TW30_aFilter=20_bFilter=5,5519470499984739720,0,2559,250006680,2850,18824
DEFAULT,,MAS_noRidesharing_TW30_aFilter=20_bFilter=5,-570648509535936272,0,2559,250006691,2850,18824
DEFAULT,,MAS_noRidesharing_TW30_aFilter=20_bFilter=5,-5814032274792701469,0,2558,250006937,2849,18825
