problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,5519470499984739720,0,1730,250005745,2030,18427
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,-570648509535936272,0,1727,250002786,2027,18430
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,-5814032274792701469,0,1727,250003024,2027,18430
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,5519470499984739720,0,1734,250003548,2040,19226
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,-570648509535936272,0,1737,250003408,2043,19223
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,-5814032274792701469,0,1738,250009777,2044,19222
