cost,travel_time,tardiness,over_time,is_valid,scenario_id,random_seed,repetition,comp_time,num_vehicles,num_orders,num_accepted_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions,pickup_tardiness,delivery_tardiness,travel_distance,moved_vehicles,num_delivered_orders
81999.62098333333,74438.24471666667,7519.542966666667,41.8333,true,DEFAULT-,5519470499984739720,0,2567632,3128,5599,5599,66,33,1,3759.769533333333,3759.7734333333333,20932.875506536366,2795,5599
81231.36103333335,74241.5758,6986.139416666667,3.6458166666666667,true,DEFAULT-,-570648509535936272,0,2529240,3128,5599,5599,58,28,0,3484.4633,3501.6761166666665,20876.0070576275,2792,5599
81611.51085,74345.24585,7253.690016666666,12.574983333333334,true,DEFAULT-,-5814032274792701469,0,2611120,3128,5599,5599,70,33,0,3614.377233333333,3639.3127833333333,20892.79079762573,2793,5599
80763.15073333333,74305.25631666667,6457.027766666667,0.86665,true,DEFAULT-,5519470499984739720,0,2518171,3127,5598,5598,63,33,0,3228.5125666666668,3228.5152,21222.944328704205,2772,5598
80244.7236,74165.59986666667,6079.123733333333,0.0,true,DEFAULT-,-570648509535936272,0,2478125,3127,5598,5598,52,18,0,3038.9076,3040.2161333333333,21164.156824708956,2760,5598
80582.44663333333,74235.80028333333,6346.64635,0.0,true,DEFAULT-,-5814032274792701469,0,2553192,3127,5598,5598,59,30,0,3165.4393666666665,3181.2069833333335,21206.407220696976,2754,5598
