problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,Central_Ridesharing_aFilter=5_TW=7,5519470499984739720,0,18879,249999995,18880,7560
DEFAULT,,Central_Ridesharing_aFilter=5_TW=7,-570648509535936272,0,18268,249999989,18269,6555
DEFAULT,,Central_Ridesharing_aFilter=5_TW=7,-5814032274792701469,0,16938,249999994,16939,9147
DEFAULT,,Central_Ridesharing_aFilter=5_TW=7,5519470499984739720,0,18643,249999993,18644,5590
DEFAULT,,Central_Ridesharing_aFilter=5_TW=7,-570648509535936272,0,19155,249999995,19156,5689
DEFAULT,,Central_Ridesharing_aFilter=5_TW=7,-5814032274792701469,0,21000,249999991,21001,5026
DEFAULT,,Central_Ridesharing_aFilter=5_TW=7,5519470499984739720,0,18921,249999993,18922,5093
DEFAULT,,Central_Ridesharing_aFilter=5_TW=7,-570648509535936272,0,18938,249999993,18939,8059
DEFAULT,,Central_Ridesharing_aFilter=5_TW=7,-5814032274792701469,0,18788,249999990,18789,7745
