problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,Central_noRidesharing_TW30_aFilter=10_bFilter=5,5519470499984739720,0,14770,249999188,14772,7833
DEFAULT,,Central_noRidesharing_TW30_aFilter=10_bFilter=5,-570648509535936272,0,15118,249999890,15120,5916
DEFAULT,,Central_noRidesharing_TW30_aFilter=10_bFilter=5,-5814032274792701469,0,15794,249999994,15795,5450
DEFAULT,,Central_noRidesharing_TW30_aFilter=10_bFilter=5,5519470499984739720,0,15622,249999991,15623,7451
DEFAULT,,Central_noRidesharing_TW30_aFilter=10_bFilter=5,-570648509535936272,0,15380,249999997,15382,7855
DEFAULT,,Central_noRidesharing_TW30_aFilter=10_bFilter=5,-5814032274792701469,0,15637,249996745,15638,7545
DEFAULT,,Central_noRidesharing_TW30_aFilter=10_bFilter=5,5519470499984739720,0,15652,249999992,15653,6301
DEFAULT,,Central_noRidesharing_TW30_aFilter=10_bFilter=5,-570648509535936272,0,15267,249999988,15268,6613
DEFAULT,,Central_noRidesharing_TW30_aFilter=10_bFilter=5,-5814032274792701469,0,15419,249999994,15420,6200
