problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,MAS_noRidesharing_TW30_aFilter=5_bFilter=5,5519470499984739720,0,13887,250000256,13969,11023
DEFAULT,,MAS_noRidesharing_TW30_aFilter=5_bFilter=5,-570648509535936272,0,13937,250000263,14015,9054
