problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,5519470499984739720,0,2608,250001571,2904,17558
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,-570648509535936272,0,2598,250002183,2894,17568
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,-5814032274792701469,0,2595,250011716,2891,17571
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,5519470499984739720,0,2638,250007554,2930,21265
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,-570648509535936272,0,2640,250007069,2932,21263
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,-5814032274792701469,0,2640,250007016,2932,21263
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,5519470499984739720,0,2558,250007206,2849,18825
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,-570648509535936272,0,2568,250007305,2859,18815
DEFAULT,,MAS_noRidesharing_aFilter=20_bFilter=5,-5814032274792701469,0,2560,250017048,2851,18823
