cost,travel_time,tardiness,over_time,random_seed,repetition,comp_time,num_vehicles,num_orders,num_accepted_orders,num_reauctions,num_unsuc_reauctions,num_failed_reauctions,pickup_tardiness,delivery_tardiness,travel_distance,moved_vehicles,num_delivered_orders
30816.6675666667,29577.9846333333,1215.3871333333,23.2958,5.51947049998474E+018,0,1259348,1251,2240,2240,33,11,0,607.6932666667,607.6938666667,8321.5673179751,1112,2240
30953.0583666667,29614.7436,1315.0231333333,23.2916333333,-5.70648509535936E+017,0,1352954,1251,2240,2240,36,14,0,657.5113166667,657.5118166667,8334.8921659741,1106,2240
30954.74155,29607.6706833333,1327.6333833333,19.4374833333,-5.8140322747927E+018,0,1263515,1251,2240,2240,35,10,0,663.8163833333,663.817,8335.1275104742,1099,2240
30430.3324666667,29631.6803166667,768.6521833333,29.9999666667,5.51947049998474E+018,0,1281006,1251,2239,2239,28,7,0,384.3258,384.3263833333,8311.3158284791,1129,2239
32814.10465,30220.7726666667,2593.3319833333,0,-5.70648509535936E+017,0,1726777,1251,2239,2239,45,18,1,1289.8233666667,1303.5086166667,8463.2444535679,1128,2239
30688.4234,29662.6953166667,995.7406166667,29.9874666667,-5.8140322747927E+018,0,1246600,1251,2239,2239,24,9,0,497.87005,497.8705666667,8323.4823334784,1132,2239
31768.3111333333,30195.1925666667,1573.1185666667,0,5.51947049998474E+018,0,1263220,1251,2239,2239,25,9,1,786.5587333333,786.5598333333,8577.6808024964,1098,2239
31566.6264333333,30155.6518833333,1410.97455,0,-5.70648509535936E+017,0,1264741,1251,2239,2239,19,5,0,705.4867666667,705.4877833333,8568.5343174966,1104,2239
31734.8857,30203.4159833333,1531.4697166667,0,-5.8140322747927E+018,0,1261902,1251,2239,2239,21,6,0,765.7342666667,765.73545,8580.3709414972,1102,2239
