problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,Central_noRidesharing_aFilter=5_bFilter=5,5519470499984739720,0,17710,249999994,17711,7276
DEFAULT,,Central_noRidesharing_aFilter=5_bFilter=5,-570648509535936272,0,17500,249999993,17501,6554
DEFAULT,,Central_noRidesharing_aFilter=5_bFilter=5,-5814032274792701469,0,16553,249999988,16554,7865
DEFAULT,,Central_noRidesharing_aFilter=5_bFilter=5,5519470499984739720,0,17505,249999992,17506,5974
DEFAULT,,Central_noRidesharing_aFilter=5_bFilter=5,-570648509535936272,0,17355,249999989,17356,5756
DEFAULT,,Central_noRidesharing_aFilter=5_bFilter=5,-5814032274792701469,0,17707,249999996,17708,6435
DEFAULT,,Central_noRidesharing_aFilter=5_bFilter=5,5519470499984739720,0,15895,249999994,15896,6785
DEFAULT,,Central_noRidesharing_aFilter=5_bFilter=5,-570648509535936272,0,17401,249999996,17402,5431
DEFAULT,,Central_noRidesharing_aFilter=5_bFilter=5,-5814032274792701469,0,16334,249999988,16335,6304
