problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,Central_Ridesharing_aFilter=5_TW=300000,5519470499984739720,0,17381,250605437,17383,8122
DEFAULT,,Central_Ridesharing_aFilter=5_TW=300000,-570648509535936272,0,18806,249999993,18807,7598
DEFAULT,,Central_Ridesharing_aFilter=5_TW=300000,-5814032274792701469,0,18306,249999995,18307,7728
DEFAULT,,Central_Ridesharing_aFilter=5_TW=300000,5519470499984739720,0,17378,249999994,17379,5780
DEFAULT,,Central_Ridesharing_aFilter=5_TW=300000,-570648509535936272,0,18139,249999990,18140,8221
DEFAULT,,Central_Ridesharing_aFilter=5_TW=300000,-5814032274792701469,0,18186,249999995,18187,5751
DEFAULT,,Central_Ridesharing_aFilter=5_TW=300000,5519470499984739720,0,17727,249999993,17728,7081
