problem-class,instance,config,random-seed,repetition,rt-tick-infos,avg-interarrival-time,rt-count,st-count
DEFAULT,,MAS_noRidesharing_anounceTime=3_aFilter=5_bFilter=5,5519470499984739720,0,9918,250001256,10435,13675
DEFAULT,,MAS_noRidesharing_anounceTime=3_aFilter=5_bFilter=5,-570648509535936272,0,9899,250002944,10412,12551
DEFAULT,,MAS_noRidesharing_anounceTime=3_aFilter=5_bFilter=5,-5814032274792701469,0,9926,250001596,10438,13672
